dynasty_id,dynasty,reignTitle,monarch,monarchName,beginYear,endYear,label,uri
汉,汉,绥和,成帝,刘骜,-8,-7,汉绥和,http://data.library.sh.cn/authority/temporal/7i3c52ulmk1g3aj9
汉,汉,建平,哀帝,刘欣,-6,-3,汉建平,http://data.library.sh.cn/authority/temporal/vuoeofj271g96eb2
汉,汉,太初,哀帝,刘欣,-5,-5,汉太初,http://data.library.sh.cn/authority/temporal/sukmweaeo52v7j6e
汉,汉,元寿,哀帝,刘欣,-2,-1,汉元寿,http://data.library.sh.cn/authority/temporal/5hvqv2zbeyy4bf7v
汉,汉,元始,平帝,刘衎,1,5,汉元始,http://data.library.sh.cn/authority/temporal/1j73xqybmk7lr649
汉,汉,居摄,孺子,刘婴,6,8,汉居摄,http://data.library.sh.cn/authority/temporal/5maiex7kzlaaujpu
汉,汉,初始,孺子,刘婴,8,8,汉初始,http://data.library.sh.cn/authority/temporal/ga8tf8qsxkbcc8gc
新,新,始建国,,王莽,9,13,新始建国,http://data.library.sh.cn/authority/temporal/6hj5hqgeqm63s54e
新,新,天凤,,王莽,14,19,新天凤,http://data.library.sh.cn/authority/temporal/rfqm4sgzhpw1n9fs
新,新,地皇,,王莽,20,23,新地皇,http://data.library.sh.cn/authority/temporal/32zcdr1sao5kdsna
,,复汉,,隗嚣,23,34,复汉,http://data.library.sh.cn/authority/temporal/9hjgf8yr6j7v4mlx
,,更始,,刘玄,23,25,更始,http://data.library.sh.cn/authority/temporal/95m9duj9c35zle32
东汉,东汉,,,,25,220,东汉,http://data.library.sh.cn/authority/temporal/kefbb8iphd4t5e3c
,,建世,,刘盆子,25,27,建世,http://data.library.sh.cn/authority/temporal/ozxi9fv6bwqco8w2
,,龙兴,,公孙述,25,36,龙兴,http://data.library.sh.cn/authority/temporal/ukt8q8ulu8w9xgnf
东汉,东汉,建武,光武帝,刘秀,25,56,东汉建武,http://data.library.sh.cn/authority/temporal/metvom7i4f3twkxi
东汉,东汉,建武中元,光武帝,刘秀,56,57,东汉建武中元,http://data.library.sh.cn/authority/temporal/e1aj1pmqdlhx31r6
东汉,东汉,永平,明帝,刘庄,58,75,东汉永平,http://data.library.sh.cn/authority/temporal/z8s6pvs3m67uy225
东汉,东汉,建初,章帝,刘炟,76,84,东汉建初,http://data.library.sh.cn/authority/temporal/eal933hknyargdov
东汉,东汉,元和,章帝,刘炟,84,87,东汉元和,http://data.library.sh.cn/authority/temporal/jk6sz1c4rwq46681
东汉,东汉,章和,章帝,刘炟,87,88,东汉章和,http://data.library.sh.cn/authority/temporal/yriovof8vl4vs2ra
东汉,东汉,永元,和帝,刘肇,89,105,东汉永元,http://data.library.sh.cn/authority/temporal/jufq85c8f9i8htfl
东汉,东汉,元兴,和帝,刘肇,105,105,东汉元兴,http://data.library.sh.cn/authority/temporal/hg4esek9whs583se
东汉,东汉,延平,殇帝,刘隆,106,106,东汉延平,http://data.library.sh.cn/authority/temporal/lymxqmb5htjeqgaa
东汉,东汉,永初,安帝,刘祜,107,113,东汉永初,http://data.library.sh.cn/authority/temporal/m3g5mw8dmmxizvmy
东汉,东汉,元初,安帝,刘祜,114,120,东汉元初,http://data.library.sh.cn/authority/temporal/y327ur9vlbyyvvy8
东汉,东汉,永宁,安帝,刘祜,120,121,东汉永宁,http://data.library.sh.cn/authority/temporal/8rvkaod8323x12b9
东汉,东汉,建光,安帝,刘祜,121,122,东汉建光,http://data.library.sh.cn/authority/temporal/q3gsqapzittbtpc1
东汉,东汉,延光,安帝,刘祜,122,125,东汉延光,http://data.library.sh.cn/authority/temporal/q2w9c3jr1hnupbbt
东汉,东汉,,少帝,刘懿,125,125,东汉,http://data.library.sh.cn/authority/temporal/s14e7glq62u3xwds
东汉,东汉,永建,顺帝,刘保,126,132,东汉永建,http://data.library.sh.cn/authority/temporal/h9yj335z1oteznb7
东汉,东汉,阳嘉,顺帝,刘保,132,135,东汉阳嘉,http://data.library.sh.cn/authority/temporal/xnq9d3jqlmbd6gug
东汉,东汉,永和,顺帝,刘保,136,141,东汉永和,http://data.library.sh.cn/authority/temporal/sssvxjxhmtknbymi
东汉,东汉,汉安,顺帝,刘保,142,144,东汉汉安,http://data.library.sh.cn/authority/temporal/roiqzdzhkoaqefgi
东汉,东汉,建康,顺帝,刘保,144,144,东汉建康,http://data.library.sh.cn/authority/temporal/ter4rksetozjnz92
东汉,东汉,永熹,冲帝,刘炳,145,145,东汉永熹,http://data.library.sh.cn/authority/temporal/r99evaoyvnyxd1ig
东汉,东汉,本初,质帝,刘缵,146,146,东汉本初,http://data.library.sh.cn/authority/temporal/4l3vtnx424q8tlr6
东汉,东汉,建和,桓帝,刘志,147,149,东汉建和,http://data.library.sh.cn/authority/temporal/ubpxfofgbbsvhf4s
东汉,东汉,和平,桓帝,刘志,150,150,东汉和平,http://data.library.sh.cn/authority/temporal/of1lh6dt6ifpfui3
